"pubmedID","num_inter","n_proteins","methods"
"10627486","2","3","two hybrid"
"10652215","1","2","two hybrid"
"11157805","3","5","two hybrid"
"9242535","1","2","pull down"
"9742112","1","2","coimmunoprecipitation"
"9596688","1","2","two hybrid"
"10527948","2","4","pull down,two hybrid"
"10330177","2","3","pull down"
"11917123","1","2","coimmunoprecipitation"
"8627166","3","4","coimmunoprecipitation"
"12039952","10","10","pull down"
"10749851","1","2","anti bait coimmunoprecipitation,pull down"
"11877420","2","3","pull down"
"11802773","2","3","two hybrid"
"8855266","2","3","anti bait coimmunoprecipitation,anti tag coimmunoprecipitation,two hybrid"
"10681545","1","2","anti bait coimmunoprecipitation"
"8647200","4","6","coimmunoprecipitation"
"12023291","1","2","pull down"
"11726552","1","2","anti tag coimmunoprecipitation,fluorescence microscopy,two hybrid"
"11791185","1","2","anti bait coimmunoprecipitation"
"10373512","1","2","coimmunoprecipitation,two hybrid"
"8798570","2","3","coimmunoprecipitation,pull down"
"11297527","1","2","coimmunoprecipitation"
"9338779","1","2","biochemical,cross linking study,enzyme linked immunosorbent assay,two hybrid"
"11735126","2","3","coimmunoprecipitation,pull down,two hybrid"
"10725395","4","5","anti bait coimmunoprecipitation,two hybrid"
"8266077","2","3","anti bait coimmunoprecipitation"
"12093742","5","6","coimmunoprecipitation"
"11239454","1","2","coimmunoprecipitation,fluorescence microscopy"
"12354784","1","2","anti tag coimmunoprecipitation,coimmunoprecipitation,two hybrid"
"10395741","5","4","coimmunoprecipitation"
"10551832","3","2","two hybrid"
"10075675","2","3","coimmunoprecipitation"
"11971985","11","8","affinity chromatography technology"
"11997512","1","2","far western blotting,pull down,surface plasmon resonance"
"14684745","1","2","anti tag coimmunoprecipitation,experimental interaction detection,imaging technique"
"11063725","3","3","coimmunoprecipitation"
"10934474","1","2","two hybrid"
"11684085","1","2","coimmunoprecipitation,two hybrid"
"9461550","4","4","two hybrid"
"10866662","9","9","two hybrid"
"11113179","1","2","pull down"
"12569173","1","2","nuclear magnetic resonance"
"11024021","3","4","pull down"
"10944529","5","5","coimmunoprecipitation"
"12397362","1","2","coimmunoprecipitation,pull down"
"11260256","14","7","two hybrid"
"9150368","2","3","two hybrid"
"11564755","5","4","coimmunoprecipitation"
"9645950","1","2","fluorescence microscopy,two hybrid"
"7844150","1","2","anti bait coimmunoprecipitation,anti tag coimmunoprecipitation"
"10669754","1","2","coimmunoprecipitation,imaging technique,two hybrid"
"12176997","4","5","coimmunoprecipitation"
"7891724","1","1","coimmunoprecipitation"
"11799127","2","3","coimmunoprecipitation"
"12792813","1","2","two hybrid"
"12118248","1","2","x ray crystallography"
"12154125","1","2","x ray crystallography"
"11493912","1","2","x ray crystallography"
"10089303","1","2","x ray crystallography"
"10219247","1","2","x ray crystallography"
"10353245","1","2","x ray crystallography"
"10618369","1","2","x ray crystallography"
