"pubmedID","pvalue_original","pvalue","gof_original","gof","xmin_est_original","xmin","methods","n_inter","n_baits","n_preys","n_common_bait_prey","n_changeDegree_proteins","ratio_bait_prey"
"24439376",0.5,"0.41",0.094632675087571,"0.102314815970089",1,"2","pull down",24,2,16,2,"2",0.125
"24304693",0.95,"0.54",0.0361566424966834,"0.0696905048379275",1,"1","anti tag coimmunoprecipitation",23,3,15,3,"2",0.2
"20203130",0.39,"0.27",0.169491027644402,"0.161066947999864",4,"2","anti tag coimmunoprecipitation",19,4,8,4,"4",0.5
"25814554",0.43,"0.71",0.0489660565896306,"0.0326315997432094",3,"3","two hybrid array",609,87,353,48,"44",0.246458923512748
"25561175",0.13,"0",0.0744688107610145,"0.0932116504809694",1,"1","anti tag coimmunoprecipitation",116,10,64,7,"10",0.15625
"19047373",0.51,"0.65",0.0770901922406456,"0.0548756160281167",1,"1","anti tag coimmunoprecipitation",22,3,4,1,"3",0.75
"25416956",0.25,"0.45",0.0385289071414059,"0.0347499524942303",26,"23","two hybrid array",12070,3230,1648,1031,"537",0.510216718266254
"25303530",0.15,"0.74",0.0912601970731447,"0.0336186229582123",1,"1","pull down",38,8,28,8,"7",0.285714285714286
"23563313",0.31,"0.19",0.121513324102568,"0.10968194201722",2,"1","pull down",30,17,16,14,"11",0.941176470588235
"20102225",0.92,"0.48",0.0554850268500723,"0.107484824323567",11,"6","peptide array",134,33,33,33,"28",1
"24722188",0.83,"0.22",0.0140421016153405,"0.0189934598937486",1,"1","two hybrid array",264,45,194,8,"45",0.231958762886598
"26028330",0.48,"0.2",0.051754945473188,"0.0614189778194585",1,"1","anti tag coimmunoprecipitation",73,7,47,7,"5",0.148936170212766
"26496610",0.83,"0",0.0201141792415679,"0.0403997678286563",15,"7","anti tag coimmunoprecipitation",14250,665,4021,411,"664",0.16538174583437
"21343306",0.92,"0.83",0.0424990531457459,"0.0312760435083798",1,"1","anti tag coimmunoprecipitation",31,6,23,5,"6",0.260869565217391
"26871637",0.14,"0.06",0.0253176299072905,"0.0227176949908565",1,"1","two hybrid array,two hybrid prey pooling approach,validated two hybrid",377,108,251,13,"104",0.430278884462151
"27107012",0.44,"0",0.0470783753930784,"0.0541853972274835",7,"1","barcode fusion genetics two hybrid",678,262,204,92,"9",0.778625954198473
"25552655",0.55,"0.5",0.111797216761092,"0.114846772173601",2,"2","anti tag coimmunoprecipitation",21,3,9,2,"1",0.333333333333333
"26824392",0.66,"0.18",0.0378014183352784,"0.0460227481584234",1,"1","anti tag coimmunoprecipitation",63,5,44,5,"3",0.113636363636364
"32296183",0.35,"0.4",0.0405746735906567,"0.0405746465437441",88,"88","two hybrid array,two hybrid prey pooling approach",46676,5205,5097,2634,"3",0.979250720461095
"17289582",0.49,"0.02",0.135381441177163,"0.203042568873342",3,"1","anti bait coimmunoprecipitation",21,5,13,3,"4",0.384615384615385
"17510365",0.59,"0.5",0.0465586328081796,"0.0373696943042796",1,"1","tandem affinity purification",43,6,34,6,"4",0.176470588235294
"28178521",0.3,"0.35",0.113909730128884,"0.118930501859815",2,"2","anti tag coimmunoprecipitation",25,5,14,5,"3",0.357142857142857
"26340423",0.24,"0.05",0.18453620263723,"0.241225652328588",2,"1","cross linking study",16,1,8,0,"1",0.125
"28330616",0.23,"0.04",0.0430916384678711,"0.0369487205296786",3,"2","pull down",933,61,530,18,"61",0.115094339622642
"24789099",0.77,"0.52",0.114059596377287,"0.154033733425082",4,"3","fluorescence activated cell sorting",16,5,6,3,"3",0.833333333333333
"26929214",0.33,"0",0.0652553783420119,"0.111096620735178",1,"1","tandem affinity purification",103,5,50,4,"5",0.1
"18066079",0.1,"0.17",0.329878584307323,"0.272939688027087",4,"2","tandem affinity purification",17,6,8,6,"5",0.75
"19369198",0.24,"0.31",0.182217542982216,"0.176026544189871",2,"2","anti tag coimmunoprecipitation",16,9,11,9,"1",0.818181818181818
"19433796",0.44,"0.04",0.131403554394412,"0.332134743237679",2,"1","anti tag coimmunoprecipitation",18,3,11,2,"2",0.272727272727273
"19617556",0.23,"0.04",0.163797832250638,"0.369155423403478",2,"1","anti tag coimmunoprecipitation",20,5,10,4,"5",0.5
"20080577",0.56,"0.09",0.0645457125284014,"0.117398081353845",1,"1","tandem affinity purification",33,4,24,4,"4",0.166666666666667
"20080638",0.63,"0.64",0.11131962682471,"0.0893540056680515",4,"3","anti tag coimmunoprecipitation",39,9,16,9,"7",0.5625
"21478865",0.88,"0.91",0.0976476843279805,"0.0976476843279805",3,"3","cosedimentation in solution,molecular sieving",11,3,1,0,"0",0.333333333333333
"23995757",0.54,"0.68",0.0583216678816003,"0.0381701197164453",1,"1","anti tag coimmunoprecipitation",32,5,24,5,"2",0.208333333333333
"24358021",0.83,"0.56",0.0941767475512807,"0.126649804069721",6,"5","molecular sieving",29,8,6,5,"4",0.75
"25567906",0.34,"0.46",0.154860307770296,"0.129856513462138",4,"3","anti tag coimmunoprecipitation",24,8,12,8,"7",0.666666666666667
"25599396",0.87,"0.84",0.081168392827497,"0.081168392827497",2,"2","cross linking study",11,1,4,0,"0",0.25
"25799061",0.42,"0.13",0.0953066427438073,"0.156960026477669",1,"1","tandem affinity purification",20,5,16,5,"3",0.3125
"26167883",0.31,"0.17",0.141090815279374,"0.139610832713586",3,"1","anti tag coimmunoprecipitation",23,3,13,3,"2",0.230769230769231
"26659056",0.88,"0.11",0.0833272207693838,"0.171533236123203",4,"1","anti bait coimmunoprecipitation",21,7,11,7,"7",0.636363636363636
"23219802",0.26,"0.2",0.128236672356895,"0.128236672356895",2,"2","cross linking study",41,2,2,2,"0",1
"28381538",0.7,"0.91",0.091335070443701,"0.0841514100790787",16,"12","filter binding",216,37,33,29,"29",0.891891891891892
"28199315",0.81,"0.92",0.0749450543542935,"0.0638990998700586",7,"7","anti tag coimmunoprecipitation",38,5,12,5,"4",0.416666666666667
"25263562",0.43,"0.28",0.153442278291231,"0.142692210807585",4,"1","anti tag coimmunoprecipitation",19,9,10,7,"8",0.9
"25187624",0.4,"0.85",0.124128509217542,"0.0997971454613229",5,"5","enzyme linked immunosorbent assay",38,8,10,0,"8",0.8
"30126976",0.33,"0.07",0.0590427947729706,"0.0776987042932248",2,"2","p filamentous phage display",136,12,77,2,"11",0.155844155844156
"29997244",0.12,"0.05",0.0162283373487432,"0.0171100365412491",1,"1","bioluminescence resonance energy transfer",148,75,94,60,"7",0.797872340425532
"30561431",0.31,"0",0.0231547071801195,"0.0414566110106146",1,"1","virotrap",560,13,316,13,"12",0.0411392405063291
"28065597",0.44,"0.73",0.0949190278466743,"0.089564871427922",13,"12","ubiquitin reconstruction",324,42,68,11,"38",0.617647058823529
"28683311",0.84,"0.45",0.105518154830655,"0.19449559296708",4,"3","anti bait coimmunoprecipitation",15,6,5,3,"3",0.833333333333333
"25036101",0.15,"0.26",0.0383542979189605,"0.0410846572155736",1,"1","phage display,pull down",55,19,42,10,"10",0.452380952380952
"25825872",0.47,"0.02",0.0899721373780479,"0.123883224245357",3,"1","phage display",62,5,29,0,"5",0.172413793103448
"23355646",0.32,"0.04",0.132231523367388,"0.420020534868791",2,"1","far western blotting",21,3,9,0,"3",0.333333333333333
"26617989",0.57,"0.06",0.0433089572010281,"0.0754858075798353",1,"1","tandem affinity purification",46,14,35,3,"14",0.4
"27153538",0.94,"0",0.160081272260484,"0.439053304593211",18,"1","anti tag coimmunoprecipitation",55,4,21,3,"4",0.19047619047619
"29789297",0.48,"0.09",0.107418611222075,"0.14156617915564",4,"1","anti tag coimmunoprecipitation",29,9,9,3,"8",1
"29892012",0.2,"0.05",0.0155317979015946,"0.0207028772782818",1,"1","two hybrid array",582,418,140,26,"137",0.334928229665072
"19131338",0.64,"0.36",0.0705860565908635,"0.0774117269974997",1,"1","tandem affinity purification",23,4,18,4,"3",0.222222222222222
"29209066",0.37,"0.36",0.164039137957947,"0.16347799367609",2,"1","surface plasmon resonance",12,4,2,2,"1",0.5
"32814053",0.1,"0.19",0.0250427801781644,"0.0250427801781644",8,"8","two hybrid array,two hybrid pooling approach",11169,345,2652,180,"0",0.130090497737557
"26949739",0.26,"0.22",0.0330845241924016,"0.0231897902277635",1,"1","cross linking study",153,8,121,2,"8",0.0661157024793388
"33548203",0.77,"0.09",0.119948624005931,"0.185646161699577",3,"1","pull down",14,6,10,6,"4",0.6
"20211142",0.38,"0.55",0.0379747692880295,"0.0397640193184305",3,"3","two hybrid array",760,379,231,129,"189",0.609498680738786
"16723661",0.86,"0.08",0.0963531168214211,"0.222307331889513",3,"1","two hybrid",15,10,10,10,"2",1
"25355947",0.12,"0.15",0.130171492611718,"0.116332076035116",1,"1","anti bait coimmunoprecipitation",22,15,8,6,"4",0.533333333333333
"28947780",0.21,"0.09",0.136530984853899,"0.15745675485942",1,"1","anti bait coimmunoprecipitation",17,7,13,7,"1",0.538461538461538
