"pubmedID","pvalue","xmin_est","xmax","ntail","len_degree","unique_degree","gof","alpha","n_inter"
"24218572","0.2","2","4","8","10","4","0.24208041818465","2.99126065260723",12
"9716181","0.61","3","5","7","8","4","0.110817231875568","4.05290390549677",14
"19786724","0.32","2","12","11","14","5","0.123977021366871","2.68343814522268",22
"15220921","0.5","1","9","10","10","4","0.104766552844717","1.99091912813283",12
"19172752","0.07","1","6","8","8","3","0.281668832252381","1.80090869512469",11
"15923622","0.96","1","12","14","14","5","0.0487919785785285","2.00973567760903",18
"27472814","0.06","1","4","7","7","4","0.349714043143375","1.69767388288691",10
"19759913","0.1","1","49","49","49","3","0.0504139315117235","3.29864022840535",50
"29511261","0","1","110","261","261","9","0.031642361281472","2.85135257557895",299
"25670202","0.06","1","78","80","80","5","0.0569658852687123","3.42407956378488",83
"11721045","0.78","3","5","4","7","5","0.114172407391099","3.92889386249881",10
"20203130","0.32","4","8","6","9","6","0.169491027644402","3.486125247921",19
"27217568","0.88","1","14","17","17","5","0.0443249277378589","2.13750680636253",20
"19287380","0.16","1","29","33","33","6","0.0598235447952942","2.56173820987146",36
"16861906","0.62","2","11","7","13","5","0.0958020347525568","2.60453801699073",16
"25604459","0","1","139","185","185","4","0.0685252774376759","2.83443032983518",222
"9885575","0.3","3","7","8","10","4","0.140796350422671","3.36105469766189",19
"22770219","0.87","1","13","13","13","4","0.0520344730693501","2.17295332048746",15
"19447967","0.06","1","10","62","62","7","0.0665099079276619","2.17366548725777",60
"21360678","0.31","1","29","29","29","4","0.0642109922896928","2.43850785637022",35
"25686248","0.67","1","9","14","14","4","0.0675544407100718","2.30165592365356",14
"22094256","0.11","1","68","75","75","5","0.0446079634717156","2.6722800542404",88
"19131965","0.65","2","5","5","7","5","0.139428200106511","2.59766227421668",9
"17662718","0.19","3","5","5","6","4","0.271653671306444","2.93571280723905",12
"18566590","0.57","3","6","5","7","4","0.15759547812479","3.49962115085479",12
"14968112","0.03","1","38","48","48","4","0.0749171852113228","3.07414177942721",48
"23563313","0.26","2","16","13","20","6","0.11904321628751","2.31122683378032",31
"20080577","0.49","2","20","14","27","7","0.0798636638865056","2.27970875307263",41
"22751105","0","1","116","135","135","6","0.0447560163727957","3.28362627858512",143
"23986595","0","1","66","67","67","5","0.119901858162457","2.50152722810624",89
"19596686","0","1","216","216","216","4","0.0337231108037507","3.31426435563216",240
"12029088","0.53","1","22","24","24","3","0.0466291466298857","2.7518892859613",24
"14752096","0.54","2","5","6","9","4","0.118266114378975","2.99791162528626",10
"24882209","0.5","2","7","6","9","5","0.136511423569083","2.52944236221892",12
"19766566","0.01","1","7","10","10","5","0.305733744288288","1.60150675940293",21
"9111364","0.36","5","7","4","6","5","0.277046954075551","4.78928384706792",14
"23085988","0.98","4","6","7","11","6","0.0466557794487046","6.31504218720658",19
"23455924","0","1","183","346","346","17","0.0561568753982555","2.16319321315546",530
"20543829","0.62","2","8","6","12","4","0.10422961907066","2.76987897458834",13
"24337577","0.02","1","25","194","194","19","0.0522110111278405","1.95904895943494",319
"25247294","0.34","1","13","14","14","4","0.112355019708803","2.0128599822957",18
"19369418","0.06","1","45","47","47","6","0.0661203076680781","2.70098899889262",53
