"pvalue_degree","pvalue_bait","num_inter","n_proteins","n_NA_degree","n_NA_bait"
0.24,0.16,109496,13194,0,0
0.04,0,43437,8608,0,0
0,0.84,108853,13279,0,0
0,0,107781,13477,0,0
0.08,0.7,54613,9685,0,0
0.35,0.27,112945,13777,0,0
0.03,0.36,107764,13590,0,0
0.06,0.37,73792,10274,0,0
0.03,0.27,50426,10054,0,0
0.01,0.74,124094,13538,0,0
0.12,0.17,109500,13284,0,0
0,0.03,101794,13132,0,0
0,0.26,116575,13147,0,0
0,0,65648,10572,0,0
0,0.1,95493,12977,0,0
0.27,0.86,116641,13693,0,0
0,0.89,115156,13680,0,0
0.01,0,102968,13458,0,0
0,0.96,110579,13502,0,0
0.03,0,59568,9624,0,0
0,0.2,119505,13302,0,0
0,0.77,98245,13078,0,0
0,0,63247,9848,0,0
0.22,0.78,116879,13734,0,0
0.36,0.18,118685,13584,0,0
0.01,0.61,110780,13565,0,0
0,0.66,65722,10150,0,0
0,0.12,125644,13848,0,0
0.05,0.84,49949,9496,0,0
0.07,0.69,98781,13068,0,0
0.43,0.94,102729,13157,0,0
0.1,0.5,117309,13726,0,0
0.01,0,60602,10085,0,0
0.1,0.88,60388,10176,0,0
0.04,0,108871,13632,0,0
0,0.15,61845,10493,0,0
0,0,62619,9909,0,0
0.02,0.37,119912,13764,0,0
0.01,0.47,62311,10214,0,0
0,0.31,112095,13717,0,0
0,0.33,103317,13290,0,0
0.37,0.42,108421,13164,0,0
0.45,0,54638,10168,0,0
0.07,0.22,54410,9497,0,0
0,0.55,114252,13202,0,0
0,0.03,45702,9373,0,0
0.22,0,115637,13412,0,0
0,0.06,62211,10193,0,0
0.29,0.75,108780,13493,0,0
0.02,0.68,103201,13433,0,0
0.02,0.05,105217,13178,0,0
0.01,0.87,70063,10508,0,0
0.08,0.03,60285,9822,0,0
0,0.7,121342,13689,0,0
0,0.12,96953,13326,0,0
0.35,0.96,47842,9959,0,0
0,0.9,102785,13238,0,0
0.52,0.05,44399,8912,0,0
0.34,0.24,116149,13332,0,0
0,0.97,109928,13317,0,0
0.02,0,118206,13603,0,0
0.02,0.68,59132,10427,0,0
0.09,0.76,128870,13533,0,0
0.01,0.23,80218,10738,0,0
0,0.49,69110,10247,0,0
0,0.6,114055,13331,0,0
0.59,0.67,116322,13555,0,0
0.02,0.61,110789,13720,0,0
0,0,106838,13487,0,0
0.03,0.78,61302,10180,0,0
0.11,0.03,39477,8881,0,0
0,0.3,54613,10055,0,0
0.01,0.4,43078,8868,0,0
0,0.15,58376,9543,0,0
0.01,0.83,111548,13685,0,0
0,0.96,65169,10134,0,0
0,0.44,126903,13899,0,0
0.05,0.97,63515,9646,0,0
0.19,0.13,109505,13270,0,0
0,0,54921,9547,0,0
0.14,0.01,36777,9155,0,0
0,0,111377,13536,0,0
0,0.42,119589,13841,0,0
0.04,0,56678,10546,0,0
0,0,96662,13420,0,0
0.02,0.98,109821,13317,0,0
0.03,0.56,65299,9462,0,0
0.06,0.08,106990,13563,0,0
0,0,55761,9758,0,0
0,0,103645,12965,0,0
0.69,0,121471,13369,0,0
0.02,0,102591,13284,0,0
0.08,0.74,66570,10078,0,0
0,0.61,116258,13331,0,0
0,0.2,114742,13784,0,0
0.47,0.21,122096,13737,0,0
0.02,0.13,108828,13554,0,0
0.01,0.34,107667,13266,0,0
0.06,0,116352,13667,0,0
0,0.18,56552,9283,0,0
0,0.13,68842,10683,0,0
0.12,0.88,98990,13433,0,0
0,0.37,125014,13763,0,0
0,0.54,122666,13551,0,0
0.11,0.02,57546,9364,0,0
0.07,0.89,108162,13075,0,0
0.04,0.11,68453,10634,0,0
0,0.43,72644,10736,0,0
0,0.41,60093,9169,0,0
0,0.54,85529,12967,0,0
0.08,0.01,43796,9802,0,0
0.17,0.76,56010,10034,0,0
0.4,0.16,120842,13544,0,0
0.44,0.53,104975,13602,0,0
0,0.66,113587,13706,0,0
0.14,0,112142,13326,0,0
0,0.71,65598,10372,0,0
0.02,0.01,64085,10021,0,0
